,Bank,Date,INF,PR,CDR,CR,LAS,NIA,NIM,OE,RA,ROA,SCTA,SIZE,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Sense,is_Ukrsibbank,is_Universal
74,Sense,08/2019,-0.0281186406186406,-0.0095909003277424,0.005416629813645,-0.0110676584537382,-0.0448191935945557,1.5040705774485084,-0.0191647263357848,0.0242955715295422,0.0230723661761401,-0.0135859482045193,0.0546093321563696,0.000409649553303,0,0,0,0,0,0,0,1,0,0
75,Ukrsibbank,08/2019,-0.0281186406186406,-0.0095909003277424,-0.0191721072788368,0.0212129080652632,0.0051984368708638,-0.0533413515840228,-0.0443976634312086,-0.0454132352771153,0.0336206605197338,-0.0725473707661457,0.0254872324449026,0.0007941227786525,0,0,0,0,0,0,0,0,1,0
76,Universal,08/2019,-0.0281186406186406,-0.0095909003277424,0.0184141014056297,0.0014055793707439,-0.0834662261480049,0.4544464475637701,0.0564454161979484,0.0670416883850894,0.1126354859039889,0.0715382733056673,-0.0700944470792164,0.0027809423340741,0,0,0,0,0,0,0,0,0,1
77,Privat_Bank,10/2019,-0.0944065194065194,-0.0239046258179384,0.0107368556206334,0.103801517841835,-0.0098258871559698,2.8514140106455046,-0.0038026689368541,0.0024304955484807,0.0746919529777205,-0.1461638043841825,-0.0376635350206975,0.0007241958305333,0,0,0,0,0,0,1,0,0,0
78,Credit_Agricole,10/2019,-0.0944065194065194,-0.0239046258179384,0.0295970998111879,-0.0406737586098947,0.2696978690042356,0.082533453983198,0.045573605691926,-0.0255994963973427,0.0531902496305718,0.0310170295963946,-0.0298616170288762,0.0004705625709188,1,0,0,0,0,0,0,0,0,0
79,FUIB,10/2019,-0.0944065194065194,-0.0239046258179384,0.0207099157476543,-0.0278891518567486,0.0425481916628501,0.2053057775608066,0.0570240305494589,0.0335806156966692,0.0324637278205746,0.0406709288308441,0.0063419095151113,0.0009778675618228,0,1,0,0,0,0,0,0,0,0
80,Kredobank,10/2019,-0.0944065194065194,-0.0239046258179384,-0.0023480500649564,-0.0845852526160962,-0.0172992066918919,0.1028508026889257,0.0001736233877635,0.0065257361594494,0.0169334706047164,0.0228621298679133,0.0104972023732647,0.0013384177458945,0,0,1,0,0,0,0,0,0,0
81,Oschadbank,10/2019,-0.0944065194065194,-0.0239046258179384,-0.0018197414497288,-0.0364907627168304,0.0269390896374003,5.3667246398594095,0.0723992333835193,0.0368318616142216,0.0182994153038939,1.6762959061690497,0.1109899101668156,0.0001434146195326,0,0,0,0,1,0,0,0,0,0
82,OTP,10/2019,-0.0944065194065194,-0.0239046258179384,-0.0161685352286686,-0.0114778624217887,0.2699736838621346,0.2600008014244139,0.0082096942971255,-0.0164697153830037,0.0056355321815099,0.0054960483996718,-0.0560284399794645,0.0025777974261142,0,0,0,1,0,0,0,0,0,0
83,Pivdennyi,10/2019,-0.0944065194065194,-0.0239046258179384,-0.0224614126740177,0.0469857906725877,0.2415232550297217,1.361960198498214,0.0020927700701715,0.0650639571630303,-0.0088160447940596,-0.0224307479243887,0.0684515944842865,0.0018421928831749,0,0,0,0,0,1,0,0,0,0
84,Raiffeisen,10/2019,-0.0944065194065194,-0.0239046258179384,-0.0239117055933054,-8.247500466376666e-05,0.3438693385143711,0.0574509410984468,0.0217512323186533,0.0915292508037524,0.0472876360851852,0.0419261317779734,-0.0574728291286445,0.0003577332136083,0,0,0,0,0,0,0,0,0,0
85,Sense,10/2019,-0.0944065194065194,-0.0239046258179384,0.0354046388205643,-0.011113865451409,0.1411739475975508,1.3115092040991363,-0.0622037129917443,-0.0105453928868952,0.0154964276449542,-0.0292624432920985,0.2500605905675646,0.0055218334488279,0,0,0,0,0,0,0,1,0,0
86,Ukrsibbank,10/2019,-0.0944065194065194,-0.0239046258179384,0.0106831755232446,0.0260679947549082,0.097700097607996,-0.1080828457929716,-0.0129417088676092,0.00658217864152,0.0507308895925997,0.0235130658346866,0.1221100943592903,0.0002132256090965,0,0,0,0,0,0,0,0,1,0
87,Universal,10/2019,-0.0944065194065194,-0.0239046258179384,0.0139685539681202,0.0346556815799583,0.077233440528497,-0.4272205162682454,0.0653600619622734,-0.0428623741515842,0.0928317274711519,-0.0286936737454264,-0.0100088613758266,0.0037376856375628,0,0,0,0,0,0,0,0,0,1
88,Privat_Bank,11/2019,-0.1699050949050948,-0.0356800816671496,-0.0026875874866474,0.1467851480608208,-0.0097435990325789,3.190153802855868,-0.0078911232178928,0.0332405200873739,0.0740434820344692,0.5654310418379133,-0.0247584810116772,0.0013141706431639,0,0,0,0,0,0,1,0,0,0
89,Credit_Agricole,11/2019,-0.1699050949050948,-0.0356800816671496,0.0217230595855232,-0.0107825794210474,0.0865199668557165,-0.4243922220550031,0.0167723853343707,-0.0237622487613938,0.0413026325930245,-0.0413923348621253,-0.0207736725253142,0.0010575793102832,1,0,0,0,0,0,0,0,0,0
90,FUIB,11/2019,-0.1699050949050948,-0.0356800816671496,0.0319241261570956,-0.0037316248507479,0.0782596451948106,0.1875422446905685,0.0149937929589921,0.0462309590049856,0.0458548524042983,0.0145598389410954,0.0606270647426048,0.0002980331763452,0,1,0,0,0,0,0,0,0,0
91,Kredobank,11/2019,-0.1699050949050948,-0.0356800816671496,0.0172226221375534,-0.1270407837527573,-0.0320758265404629,-0.0582577443578028,-0.0023891779665762,0.0373279358776479,0.0227746906635017,-0.0160688406514397,0.0140576364283323,0.001269871785883,0,0,1,0,0,0,0,0,0,0
92,Oschadbank,11/2019,-0.1699050949050948,-0.0356800816671496,-0.0044108241377969,-0.0927626227069439,-0.0122764204733933,1.897710691670219,0.0138042268212466,0.0457118631181347,0.0122478960233457,1.640185397768203,-0.021714278089587,0.000678337893947,0,0,0,0,1,0,0,0,0,0
93,OTP,11/2019,-0.1699050949050948,-0.0356800816671496,0.0146137678825654,-0.0201410301726096,0.2291753547631019,0.6044427498351187,-0.0085561669081483,0.040892378392444,0.0192820927252397,-0.0265289999450732,-0.0001745069111428,0.0018889290636178,0,0,0,1,0,0,0,0,0,0
94,Pivdennyi,11/2019,-0.1699050949050948,-0.0356800816671496,-0.0222473686293367,0.0340933958324238,0.388680412698059,0.2675158015085417,-0.0347982673518991,0.060870743483389,0.0065660335512407,-0.0806704622913112,-0.0745328195590498,0.0010005981370695,0,0,0,0,0,1,0,0,0,0
95,Raiffeisen,11/2019,-0.1699050949050948,-0.0356800816671496,0.0027275706736087,-0.001327349226448,0.0676048093451904,-0.0213107646188997,-0.0162752695530714,0.0191670896753095,0.0275420956209491,-0.024456795271789,-0.0687076540495609,0.0015659040615676,0,0,0,0,0,0,0,0,0,0
